         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G124.442+1.858-57.11        34.04   124.442    1.858   -57.11   2.44±0.32    4.85   1.40            1.09      20.09    3.45e+21    3.72e+20          0.359
G150.083-0.633-10.52        77.83   150.083   -0.633   -10.52   0.51±0.14    1.05   0.27            2.61       1.17    4.42e+21    7.11e+20          0.040
G104.975-2.925-07.01       -22.39   104.975   -2.925    -7.01   0.74±0.09    1.15   0.34            1.71       1.09    3.01e+21    2.99e+20          0.499
G143.508-0.492-08.52       -39.67   143.508   -0.492    -8.52   0.49±0.17    0.71   0.22            1.29       0.41    3.30e+21    3.96e+20          0.879
G139.967-0.950+03.01        23.40   139.967   -0.950     3.01   0.25±0.05    0.82   0.24            1.25       0.80    4.62e+21    4.62e+20          0.073
G131.767+1.483-02.34       -32.76   131.767    1.483    -2.34   0.46±0.20    1.12   0.32            1.36       0.93    2.64e+21    3.03e+20          0.449
G112.108+0.267-54.94       -72.28   112.108    0.267   -54.94   2.68±0.12    5.38   1.75            0.75      27.03    3.81e+21    5.66e+20          0.076
G119.892+0.208-33.23        26.81   119.892    0.208   -33.23   2.61±0.92   10.78   2.29            1.58     262.36    1.52e+22    1.19e+21          0.766
G137.717+0.550-33.90        21.50   137.717    0.550   -33.90   2.38±0.10    3.87   1.30            1.42      33.34    7.76e+21    1.06e+21          0.134
G122.017+0.642-12.53       -46.42   122.017    0.642   -12.53   1.00±1.15    4.06   1.12            2.18      18.64    4.63e+21    4.06e+20          0.399
G113.708-0.442-39.41       -42.59   113.708   -0.442   -39.41   2.81±0.25    6.74   1.45            1.20      24.19    5.32e+21    3.58e+20          0.037
G105.758+2.967-00.67        42.14   105.758    2.967    -0.67   0.77±0.09    2.20   0.75            1.70       5.95    4.20e+21    4.43e+20          0.414
G135.825-0.525-36.24       -51.70   135.825   -0.525   -36.24   2.39±0.10   11.16   2.49            1.90     202.28    8.91e+21    6.31e+20          0.811
G131.325+1.567-46.76        20.65   131.325    1.567   -46.76   1.96±0.04    3.32   1.07            1.38      10.35    2.76e+21    3.93e+20          0.294
G106.617+2.758-09.35        27.04   106.617    2.758    -9.35   0.80±0.10    1.06   0.36            1.11       0.96    2.45e+21    2.79e+20          0.126
G107.050-1.258-29.89        29.65   107.050   -1.258   -29.89   2.98±0.71    4.99   1.54            2.23      91.21    1.44e+22    1.24e+21          0.378
G124.933-2.725-23.88       -38.64   124.933   -2.725   -23.88   2.19±0.82    3.96   1.16            1.35       6.04    1.82e+21    2.06e+20          0.105
G107.550-0.833-38.58       -47.81   107.550   -0.833   -38.58   2.91±0.45    6.69   1.80            1.82      99.33    1.52e+22    6.90e+20          0.135
G130.350+1.508-10.02        12.99   130.350    1.508   -10.02   0.57±0.14    2.31   0.66            2.52      13.06    1.13e+22    1.33e+21          0.325
G105.217+4.850-08.35       -54.54   105.217    4.850    -8.35   0.83±0.11    1.38   0.51            1.75       4.62    5.34e+21    6.24e+20          0.032
G148.242+2.400-03.34        35.80   148.242    2.400    -3.34   0.47±0.15    0.83   0.29            0.83       0.46    1.66e+21    2.15e+20          0.277
G134.875-3.150-16.20        34.62   134.875   -3.150   -16.20   1.57±0.71    1.29   0.55            1.03       2.48    2.56e+21    4.16e+20          0.092
G144.058+0.842-32.56        27.18   144.058    0.842   -32.56   2.05±0.24    2.87   1.07            1.44       9.47    3.88e+21    3.81e+20          0.383
G131.108+3.375-07.68        19.21   131.108    3.375    -7.68   0.54±0.16    1.52   0.39            1.51       1.97    2.77e+21    3.04e+20          0.427
G118.875-2.642-32.23        33.48   118.875   -2.642   -32.23   2.61±0.90    2.71   0.89            1.24       6.21    3.41e+21    3.77e+20          0.591
G122.892+4.150-59.45       -28.44   122.892    4.150   -59.45   4.49±1.82   11.45   4.00            2.53     331.58    7.57e+21    8.90e+20          0.267
G105.250-1.400-13.36       -44.73   105.250   -1.400   -13.36   0.77±0.09    0.81   0.33            2.16       1.29    4.39e+21    7.21e+20          0.011
G149.692-2.067-36.74       -53.40   149.692   -2.067   -36.74   2.06±0.06   12.06   2.74            3.60     248.43    6.53e+21    4.65e+20          0.000
G132.017-4.908-00.50       -60.48   132.017   -4.908    -0.50   0.25±0.03    1.00   0.21            0.81       0.70    6.91e+21    3.69e+20          0.068
G118.733+3.450-12.69        74.35   118.733    3.450   -12.69   0.73±0.07    0.99   0.33            1.38       1.01    3.41e+21    3.76e+20          0.266
G139.208+3.167-11.86        53.40   139.208    3.167   -11.86   0.62±0.08    2.49   0.58            2.20       7.86    9.48e+21    5.14e+20          0.743
G120.758+3.683-65.13       -20.93   120.758    3.683   -65.13   5.68±0.84    9.53   2.94            1.27      68.53    2.36e+21    2.77e+20          0.021
G108.867+4.342+01.17       -28.51   108.867    4.342     1.17   0.77±0.09    1.35   0.42            1.59       1.29    3.37e+21    4.20e+20          0.095
G107.533+0.325-49.27       -68.20   107.533    0.325   -49.27   2.95±0.30    5.76   1.92            1.32      62.39    8.06e+21    8.89e+20          1.043
G106.175+2.342-13.53        41.96   106.175    2.342   -13.53   0.82±0.11    1.31   0.37            1.31       0.96    2.01e+21    3.50e+20          0.092
G127.800-1.083-06.01       -35.58   127.800   -1.083    -6.01   0.55±0.16    0.86   0.24            1.43       0.83    3.52e+21    4.66e+20          0.151
G107.433+0.525-07.35       -62.48   107.433    0.525    -7.35   0.78±0.09    1.05   0.38            1.10       1.65    4.49e+21    5.39e+20          0.329
G110.933+2.833-13.36        41.39   110.933    2.833   -13.36   0.73±0.08    1.55   0.52            1.63       3.71    4.40e+21    5.00e+20          0.162
G126.658+3.600+01.67       -29.84   126.658    3.600     1.67   0.24±0.03    0.56   0.17            0.72       0.20    2.40e+21    2.99e+20          0.415
G129.808+1.833-49.27       -58.19   129.808    1.833   -49.27   1.96±0.04    3.12   1.05            1.54      24.98    1.01e+22    1.26e+21          0.160
G117.025+0.983-14.53        35.53   117.025    0.983   -14.53   0.78±0.12    2.23   0.55            1.83       5.52    5.87e+21    6.52e+20          0.128
G113.783-3.200-06.18       -63.62   113.783   -3.200    -6.18   0.74±0.08    1.99   0.59            1.45       4.67    5.91e+21    8.48e+20          0.233
G139.500+0.400-10.35        22.28   139.500    0.400   -10.35   1.21±0.83    2.22   0.69            0.69       2.49    1.92e+21    2.64e+20          0.116
G138.208+5.142-08.18        27.94   138.208    5.142    -8.18   0.54±0.14    0.70   0.22            2.82       0.93    7.15e+21    8.47e+20          0.030
G134.883+0.875-02.50        42.27   134.883    0.875    -2.50   0.46±0.19    0.52   0.17            0.82       0.12    1.19e+21    1.87e+20          0.287
G113.958-1.275-15.87       -32.89   113.958   -1.275   -15.87   2.44±0.89    3.16   1.03            0.94      11.63    3.86e+21    4.07e+20          0.186
G119.583-2.667-17.54       -32.95   119.583   -2.667   -17.54   2.26±1.07    4.25   1.20            1.69      14.74    3.44e+21    3.89e+20          0.395
G118.292-0.333-52.77       -35.80   118.292   -0.333   -52.77   2.66±0.28    6.27   2.04            1.74      57.81    7.44e+21    6.91e+20          0.598
G141.200-4.167-12.19       -14.43   141.200   -4.167   -12.19   1.29±0.69    2.92   0.80            1.22       6.86    2.53e+21    4.13e+20          0.044
G136.992+2.592-39.41       -65.36   136.992    2.592   -39.41   1.96±0.04    3.86   1.15            1.38      18.35    3.57e+21    4.76e+20          0.542
G136.283+1.900-46.09       -44.01   136.283    1.900   -46.09   1.96±0.04    3.73   1.10            1.45      12.65    4.20e+21    6.28e+20          0.363
G108.808-0.417-53.27        72.40   108.808   -0.417   -53.27   2.89±0.30    4.25   1.34            1.82      23.24    3.92e+21    7.40e+20          0.295
G137.625-0.367-53.61       -59.05   137.625   -0.367   -53.61   1.96±0.04    2.32   1.02            1.06       5.74    1.93e+21    3.42e+20          0.108
G106.850+3.717-90.35        50.64   106.850    3.717   -90.35   8.83±0.99   21.59   5.67            1.01     327.60    2.71e+21    2.84e+20          0.401
G128.458-3.000-33.90       -64.02   128.458   -3.000   -33.90   2.37±0.42    3.68   0.93            0.98      10.36    2.80e+21    5.72e+20          0.354
G138.983+2.133-39.75       -59.08   138.983    2.133   -39.75   2.13±0.25    8.18   1.34            1.91      49.77    5.17e+21    2.32e+20          0.103
G124.108+1.867-51.27        34.44   124.108    1.867   -51.27   2.44±0.30   12.79   3.19            1.92     340.72    1.08e+22    1.16e+21          0.119
G144.883+0.908-09.02        34.54   144.883    0.908    -9.02   0.41±1.78    0.98   0.29            1.10       1.54    8.19e+21    1.07e+21          0.535
G131.492+1.525-03.17       -12.60   131.492    1.525    -3.17   0.52±0.13    1.95   0.42            1.54       4.12    4.69e+21    3.98e+20          0.696
G146.850+4.950-42.92       -41.68   146.850    4.950   -42.92   4.62±1.09   20.63   4.66            1.77     589.51    1.01e+22    6.05e+20          0.098
G120.433+2.225-31.90        73.25   120.433    2.225   -31.90   2.53±0.94    3.01   0.97            1.10       8.81    2.33e+21    3.25e+20          0.350
G145.483+0.292-26.22        43.68   145.483    0.292   -26.22   2.08±0.28    4.21   0.94            1.25       8.38    4.13e+21    3.43e+20          0.369
G126.650-0.667-51.44       -45.66   126.650   -0.667   -51.44   2.42±0.27    7.05   1.28            1.23      25.84    4.58e+21    3.65e+20          0.034
G144.267+0.117-41.42        52.38   144.267    0.117   -41.42   2.04±0.20    5.31   1.62            2.10      32.69    5.60e+21    5.57e+20          0.135
G122.467+0.867-08.85        19.20   122.467    0.867    -8.85   0.84±2.76    1.57   0.34            1.47       1.22    2.36e+21    3.79e+20          0.343
G110.408-2.017-15.87        22.90   110.408   -2.017   -15.87   2.51±0.81    5.24   1.43            1.76      31.71    5.02e+21    4.63e+20          0.201
G133.458-0.833-35.74       -51.72   133.458   -0.833   -35.74   2.40±0.10    5.38   1.27            0.80      15.72    2.80e+21    2.99e+20          0.292
G133.450-1.742-14.03       -58.78   133.450   -1.742   -14.03   1.51±0.72    4.11   1.31            1.39      15.72    4.46e+21    3.57e+20          0.370
G132.558-2.208-13.86       -32.86   132.558   -2.208   -13.86   1.53±0.73    7.79   1.75            2.25     169.99    1.08e+22    5.64e+20          0.753
G112.925-1.142+03.67        47.09   112.925   -1.142     3.67   2.06±1.06    3.66   0.86            1.02       6.65    2.93e+21    3.24e+20          0.347
G121.525+3.008-63.29       -38.59   121.525    3.008   -63.29   5.49±0.87    9.66   3.59            1.84     163.13    6.37e+21    6.32e+20          0.060
G121.967+4.433-08.68        36.33   121.967    4.433    -8.68   0.70±0.04    2.50   0.71            1.19       8.40    3.68e+21    2.60e+20          0.512
G131.817-1.100-18.87        36.55   131.817   -1.100   -18.87   1.87±0.74    6.10   1.49            1.40      30.34    4.60e+21    5.87e+20          0.175
G111.375+3.808-49.77       -41.55   111.375    3.808   -49.77   2.65±0.13    4.28   1.44            1.15      26.90    4.19e+21    3.53e+20          0.088
G131.900+5.033-13.03       -32.42   131.900    5.033   -13.03   0.59±0.13    2.32   0.51            1.50       6.16    6.06e+21    4.71e+20          0.020
G140.567+3.192+02.34        45.53   140.567    3.192     2.34   0.26±0.03    1.08   0.29            0.68       0.49    2.46e+21    2.51e+20          0.606
G111.200+1.683-06.85        49.00   111.200    1.683    -6.85   0.77±0.08    1.13   0.36            0.89       1.18    3.53e+21    3.52e+20          0.390
G128.133+1.983-54.27        30.02   128.133    1.983   -54.27   2.33±0.30    3.64   1.14            1.38      13.77    3.55e+21    2.90e+20          0.592
G115.342+2.775-61.29        45.04   115.342    2.775   -61.29   5.33±0.86    8.22   2.39            1.03      81.28    4.42e+21    5.04e+20          0.430
G120.267-1.208-56.28       -25.85   120.267   -1.208   -56.28   2.59±0.27   13.11   2.47            2.07     326.28    1.08e+22    6.75e+20          0.205
G116.567+4.067-07.01        50.62   116.567    4.067    -7.01   0.73±0.07    1.83   0.43            3.32       1.90    2.39e+21    2.46e+20          0.027
G122.633+0.208+01.50       -74.49   122.633    0.208     1.50   0.23±0.02    1.17   0.19            2.46       1.66    7.61e+21    6.17e+20          0.472
G126.567+3.117-02.34        35.71   126.567    3.117    -2.34   0.49±0.20    1.23   0.36            1.39       1.16    3.70e+21    4.04e+20          0.174
G118.400-1.742-02.00        48.70   118.400   -1.742    -2.00   0.70±0.05    1.40   0.53            1.59       2.34    3.59e+21    3.86e+20          0.214
G119.492+3.333-33.57        32.47   119.492    3.333   -33.57   2.60±0.96    5.17   1.71            1.50      56.11    6.38e+21    8.24e+20          0.093
G119.633-3.108-10.35        43.30   119.633   -3.108   -10.35   1.65±1.17    3.74   1.01            0.79      10.55    2.44e+21    2.75e+20          0.333
G114.675+2.242-16.37       -20.82   114.675    2.242   -16.37   0.79±0.10    2.95   0.65            1.43      16.40    1.10e+22    1.14e+21          0.755
G118.908-2.800-05.68       -49.55   118.908   -2.800    -5.68   0.69±0.03    0.80   0.31            2.70       0.68    3.37e+21    2.73e+20          0.301
G140.625-0.092-44.59        29.16   140.625   -0.092   -44.59   2.10±0.23    3.63   1.06            1.35       8.49    2.10e+21    3.47e+20          0.180
G131.758-1.017-54.61        48.38   131.758   -1.017   -54.61   1.96±0.04    3.58   1.18            1.35      17.11    3.34e+21    4.36e+20          0.301
G121.842-3.308-15.70       -27.90   121.842   -3.308   -15.70   1.98±1.17    3.29   0.94            1.35      10.63    4.25e+21    4.20e+20          0.688
G125.333+1.108-69.64        65.92   125.333    1.108   -69.64   6.05±0.89   12.34   3.15            1.78     230.53    7.78e+21    5.44e+20          0.550
G143.967+2.733+01.34       -62.45   143.967    2.733     1.34   0.27±0.02    0.29   0.11            0.60       0.05    1.17e+21    2.08e+20          0.049
G112.025+2.708-09.35        50.70   112.025    2.708    -9.35   0.78±0.08    1.34   0.36            1.95       1.41    2.57e+21    3.06e+20          0.047
G126.633-2.608-07.01       -27.99   126.633   -2.608    -7.01   0.86±2.11    0.87   0.34            0.71       1.17    2.65e+21    3.07e+20          0.170
G111.900+2.108-10.86        21.77   111.900    2.108   -10.86   0.78±0.08    2.57   0.65            1.91      15.82    1.59e+22    1.82e+21          0.200
G123.267-0.358-39.75        58.51   123.267   -0.358   -39.75   2.48±0.29    6.07   2.00            2.12      88.88    1.21e+22    1.30e+21          0.047
G114.817+2.267-65.13       -32.22   114.817    2.267   -65.13   5.76±0.78   11.03   2.99            1.79     101.48    4.60e+21    4.07e+20          1.027
G131.158-1.783-14.86       -52.90   131.158   -1.783   -14.86   1.60±0.75    3.05   0.66            0.99       5.26    2.53e+21    2.04e+20          0.029
G144.708-2.233-05.34       -58.31   144.708   -2.233    -5.34   0.46±0.17    0.71   0.27            1.88       1.10    4.10e+21    5.36e+20          0.042
G115.867+2.483-09.85       -47.40   115.867    2.483    -9.85   0.75±0.08    0.94   0.28            0.76       0.43    1.71e+21    2.50e+20          0.391
G142.092-4.050-16.70       -28.77   142.092   -4.050   -16.70   1.58±0.72    3.71   1.37            1.51      27.70    5.52e+21    7.34e+20          0.619
G143.592-1.292-33.40       -25.95   143.592   -1.292   -33.40   2.07±0.24    5.72   1.36            1.60      73.15    1.97e+22    1.23e+21          0.426
G142.908+0.017-14.70        24.60   142.908    0.017   -14.70   1.51±0.70    3.82   0.81            1.22       6.19    2.05e+21    1.80e+20          0.159
G144.467-4.208-09.69        50.35   144.467   -4.208    -9.69   0.25±0.03    0.54   0.15            0.53       0.09    1.22e+21    1.35e+20          0.204
G147.183-1.250+00.33        33.91   147.183   -1.250     0.33   0.28±0.01    0.47   0.16            2.28       0.41    7.82e+21    5.45e+20          0.218
G146.842+0.075-38.08        12.72   146.842    0.075   -38.08   2.04±0.16    2.29   0.90            1.62       8.16    2.33e+21    3.47e+20          0.379
G114.575+4.250-11.69        29.57   114.575    4.250   -11.69   0.77±0.08    2.12   0.64            1.08       5.45    5.12e+21    5.41e+20          0.214
G127.867+1.300-53.77        43.51   127.867    1.300   -53.77   2.39±0.29    5.43   1.27            1.17      15.06    2.53e+21    2.08e+20          0.419
G115.758+2.342-06.18        49.29   115.758    2.342    -6.18   0.74±0.08    1.87   0.55            1.98       3.31    4.89e+21    4.74e+20          0.312
G140.850+0.525-58.28        37.46   140.850    0.525   -58.28   5.06±0.51    5.92   1.93            0.90      18.75    1.17e+21    2.18e+20          0.287
G111.608-4.167-21.71       -53.14   111.608   -4.167   -21.71   2.53±0.77    3.76   1.44            1.25      16.01    3.04e+21    3.37e+20          0.063
G122.392+2.192-04.34        22.86   122.392    2.192    -4.34   0.56±0.17    1.76   0.43            1.23       1.88    2.75e+21    4.28e+20          0.107
G120.092+0.867+02.34       -50.23   120.092    0.867     2.34   0.70±0.04    1.20   0.33            0.86       0.74    1.65e+21    2.48e+20          0.459
G105.983+1.033-01.00       -14.86   105.983    1.033    -1.00   0.76±0.09    1.24   0.42            1.31       1.24    2.48e+21    3.99e+20          0.463
G113.267+0.583+00.67        46.23   113.267    0.583     0.67   0.74±0.08    1.94   0.56            2.54       3.67    6.31e+21    4.13e+20          0.712
G105.450+3.558-02.84        55.38   105.450    3.558    -2.84   0.78±0.10    2.42   0.66            1.47      14.34    1.25e+22    1.10e+21          0.158
G148.575-4.383-28.22        44.62   148.575   -4.383   -28.22   2.12±0.37    7.63   1.71            1.54      19.87    1.58e+21    2.03e+20          0.309
G130.808+0.067+00.83       -35.39   130.808    0.067     0.83   0.24±0.03    0.39   0.12            0.89       0.09    2.35e+21    2.46e+20          0.174
G135.658+1.567-60.29        32.22   135.658    1.567   -60.29   5.33±0.60   11.72   2.72            1.15      86.04    3.32e+21    2.73e+20          0.330
G148.308+0.117-31.06       -54.16   148.308    0.117   -31.06   2.07±0.19    5.77   1.59            1.03      33.34    4.23e+21    4.83e+20          0.395
G137.358-0.817-03.01        35.73   137.358   -0.817    -3.01   0.44±0.19    0.57   0.25            0.74       0.34    1.86e+21    2.44e+20          0.155
G133.342+2.308-73.15        12.70   133.342    2.308   -73.15   5.31±0.53    7.93   2.36            1.05      41.69    2.64e+21    3.06e+20          0.285
G107.000-2.517-55.11       -33.66   107.000   -2.517   -55.11   3.21±0.09    4.75   1.86            3.96      48.44    4.92e+21    7.14e+20          0.239
G150.142+2.200-00.83       -44.67   150.142    2.200    -0.83   0.45±0.16    0.77   0.22            0.69       0.40    2.19e+21    2.66e+20          0.125
G139.000+3.983-13.69        61.65   139.000    3.983   -13.69   1.30±0.87    6.35   0.89            2.92      31.28    6.77e+21    3.75e+20          0.181
G129.258-4.775-46.93       -67.54   129.258   -4.775   -46.93   2.30±0.25    4.79   1.53            2.23      34.73    5.29e+21    6.98e+20          0.235
G125.200+2.000-88.34       -60.41   125.200    2.000   -88.34   9.72±0.76   22.67   6.06            1.73     565.89    4.50e+21    4.47e+20          0.266
G113.775+2.783-52.77        25.20   113.775    2.783   -52.77   2.66±0.12    8.75   2.97            1.51     238.68    1.77e+22    1.31e+21          0.429
G120.692+0.317-18.20        44.93   120.692    0.317   -18.20   1.77±1.20    2.18   0.78            2.11       7.00    3.80e+21    5.04e+20          0.175
G133.333-0.642-25.22        20.09   133.333   -0.642   -25.22   2.41±0.11    6.14   2.22            1.96     129.43    1.15e+22    1.54e+21          0.030
G142.108+3.592-45.42        67.78   142.108    3.592   -45.42   2.01±0.23    6.83   1.47            3.70      70.72    1.36e+22    7.40e+20          1.271
G141.875+0.200-20.04        48.87   141.875    0.200   -20.04   1.96±0.54    3.17   0.93            1.23       6.21    2.50e+21    3.36e+20          0.277
G148.292-5.208-19.20        47.77   148.292   -5.208   -19.20   1.93±0.72    3.52   0.91            1.15       8.40    2.63e+21    3.20e+20          0.084
G139.342+2.292-40.25        40.41   139.342    2.292   -40.25   2.10±0.26    3.24   1.35            0.74      14.71    3.26e+21    3.07e+20          0.642
G116.142+3.433-69.14        70.41   116.142    3.433   -69.14   6.13±0.82   12.42   4.07            2.42     159.45    4.26e+21    7.43e+20          0.289
G110.225+2.842-55.95       -46.63   110.225    2.842   -55.95   2.66±0.16    3.41   1.14            2.67      20.73    5.27e+21    4.79e+20          0.326
G113.275-2.508-32.56       -28.84   113.275   -2.508   -32.56   2.84±0.44    3.86   1.49            1.08      27.80    4.53e+21    5.34e+20          0.175
G118.733+2.242-04.17        30.55   118.733    2.242    -4.17   0.71±0.06    2.92   0.72            1.67       7.25    3.76e+21    2.91e+20          0.295
G133.000-1.825-48.93       -38.67   133.000   -1.825   -48.93   2.39±0.11    4.10   1.52            1.24      34.40    5.23e+21    6.64e+20          0.025
G107.367+0.342-12.02       -45.13   107.367    0.342   -12.02   0.79±0.09    1.14   0.40            1.37       0.87    3.39e+21    2.45e+20          1.102
G149.067-1.650-32.23       -21.47   149.067   -1.650   -32.23   2.05±0.10    8.50   2.06            2.32     108.27    7.38e+21    5.19e+20          0.373
G122.475+4.317-08.68        39.66   122.475    4.317    -8.68   0.65±0.20    1.05   0.36            0.87       0.58    2.22e+21    2.61e+20          0.031
G110.058-5.017-42.59       -46.17   110.058   -5.017   -42.59   3.23±0.10    8.64   2.39            2.26     106.50    7.54e+21    6.58e+20          0.475
G145.683-0.383-30.89       -41.62   145.683   -0.383   -30.89   2.07±0.24    7.46   2.19            2.89      81.64    5.77e+21    4.92e+20          0.107
G112.275-3.683-01.67       -33.66   112.275   -3.683    -1.67   0.73±0.08    2.36   0.63            2.86       4.54    4.13e+21    4.83e+20          0.109
G115.017+3.158-10.35        43.61   115.017    3.158   -10.35   0.76±0.08    2.94   0.80            1.25      10.66    7.08e+21    7.55e+20          0.541
G138.375+0.583-39.58        54.62   138.375    0.583   -39.58   2.14±0.25    4.05   1.24            1.27      30.28    7.17e+21    9.65e+20          0.217
G110.767+3.675-33.73       -25.56   110.767    3.675   -33.73   2.90±0.84   13.35   3.59            2.06     237.04    5.31e+21    6.02e+20          0.452
G125.767-3.017-10.19       -11.79   125.767   -3.017   -10.19   0.91±1.07    3.67   0.70            1.35      12.95    7.38e+21    4.66e+20          0.487
G117.050+2.133-05.34       -35.54   117.050    2.133    -5.34   0.72±0.07    0.96   0.35            1.32       1.06    3.54e+21    3.94e+20          0.778
G106.642-0.058-41.42       -41.48   106.642   -0.058   -41.42   2.86±0.28    8.87   2.58            1.75     137.71    1.43e+22    9.95e+20          0.048
G110.192+3.225-05.01        50.26   110.192    3.225    -5.01   0.78±0.08    1.97   0.61            1.78       3.06    3.58e+21    4.62e+20          0.314
G108.883+4.167+01.67       -15.21   108.883    4.167     1.67   0.77±0.09    1.06   0.36            0.86       0.73    1.66e+21    3.53e+20          0.070
G108.883-2.367-33.90        57.88   108.883   -2.367   -33.90   3.53±0.20    5.89   2.01            1.99      67.54    5.13e+21    7.68e+20          0.328
G129.075+1.592-81.16        33.07   129.075    1.592   -81.16   5.42±0.52   11.59   3.10            1.21      77.08    2.35e+21    2.71e+20          0.400
G125.617+0.000-15.87       -30.80   125.617    0.000   -15.87   1.36±1.03    1.72   0.63            1.54       7.26    6.14e+21    4.99e+20          0.484
G106.192+1.717-52.44       -50.49   106.192    1.717   -52.44   2.89±0.26    3.52   1.10            1.19       9.95    2.01e+21    3.22e+20          0.353
G118.058+0.525-50.27       -59.69   118.058    0.525   -50.27   2.70±0.22    9.49   2.67            1.12     130.85    6.88e+21    7.75e+20          0.462
G110.458-3.850+01.84        50.57   110.458   -3.850     1.84   0.73±0.10    1.11   0.33            1.93       1.15    3.14e+21    3.58e+20          0.577
G143.583+1.000-37.24       -40.77   143.583    1.000   -37.24   2.05±0.22    2.35   0.91            1.23       5.50    2.16e+21    2.50e+20          0.422
G118.567+5.083-61.79        36.82   118.567    5.083   -61.79   4.91±1.56    8.17   2.71            1.88      66.13    4.45e+21    4.86e+20          0.643
G130.408-0.892-08.85        55.74   130.408   -0.892    -8.85   0.56±0.15    1.57   0.40            2.41       3.05    4.32e+21    3.46e+20          0.718
G122.467-3.025-11.02        41.83   122.467   -3.025   -11.02   2.28±0.85    3.84   1.62            1.11      24.80    2.97e+21    3.40e+20          0.023
G134.008-4.900-19.20       -18.43   134.008   -4.900   -19.20   1.85±0.71    3.14   0.83            1.27       8.25    3.30e+21    3.42e+20          0.537
G126.250-0.858-41.58       -55.90   126.250   -0.858   -41.58   2.41±0.26    5.01   1.52            2.02      29.65    4.02e+21    4.47e+20          0.058
G112.067+2.225-91.52       -39.93   112.067    2.225   -91.52   6.16±0.53   12.42   3.92            1.25     142.21    3.13e+21    4.10e+20          0.084
G120.083+1.308-05.68        72.94   120.083    1.308    -5.68   0.70±0.04    1.73   0.41            1.76       1.84    2.08e+21    3.44e+20          0.074
G107.425+1.433-48.26       -65.31   107.425    1.433   -48.26   2.88±0.29    3.98   1.12            2.15      12.51    2.87e+21    3.74e+20          0.416
G131.758+3.542-08.52        28.09   131.758    3.542    -8.52   0.56±0.15    1.81   0.45            1.01       2.06    2.32e+21    2.70e+20          0.110
G108.242-0.833-05.01       -50.45   108.242   -0.833    -5.01   0.76±0.09    1.04   0.40            1.87       0.97    3.42e+21    2.75e+20          0.623
G127.525-3.500-14.53       -35.03   127.525   -3.500   -14.53   1.48±1.11    2.89   1.29            2.77      32.42    1.00e+22    1.23e+21          0.484
G112.650-1.000-36.41        21.16   112.650   -1.000   -36.41   3.52±0.20   14.80   2.68            2.09     146.59    4.57e+21    2.53e+20          0.271
G138.542+3.267-51.10        47.55   138.542    3.267   -51.10   2.11±0.25    5.27   1.34            1.67      18.13    4.02e+21    3.74e+20          0.529
G109.317-4.342-46.09       -40.16   109.317   -4.342   -46.09   3.21±0.10   11.07   2.81            1.78     148.83    7.04e+21    5.12e+20          0.337
G122.975+2.558-36.07       -40.96   122.975    2.558   -36.07   2.53±0.88    3.67   1.17            1.43      14.80    3.44e+21    4.07e+20          0.386
G142.033+1.550-41.58        28.10   142.033    1.550   -41.58   2.04±0.23    3.11   0.94            1.10       6.32    2.58e+21    2.42e+20          0.465
G123.183-2.325-17.87        55.24   123.183   -2.325   -17.87   2.17±0.92    2.88   0.87            1.05       4.95    1.84e+21    3.16e+20          0.450
G118.242+2.192-06.68        52.28   118.242    2.192    -6.68   0.72±0.06    1.40   0.39            1.18       0.78    1.56e+21    2.01e+20          0.403
G116.708+1.342-07.35        39.95   116.708    1.342    -7.35   0.73±0.08    2.09   0.67            1.64       3.71    3.33e+21    3.47e+20          0.070
G120.942+4.233-70.14       -37.67   120.942    4.233   -70.14   6.23±0.88   34.55   8.90            2.04    2206.05    7.92e+21    6.90e+20          0.332
G147.458-0.650-01.67        51.91   147.458   -0.650    -1.67   0.44±0.16    0.85   0.26            1.26       0.55    2.59e+21    2.78e+20          0.180
G125.550-1.917-17.87        47.02   125.550   -1.917   -17.87   2.07±0.87    2.65   0.92            2.62       7.29    3.58e+21    5.06e+20          0.157
G127.142+0.317-15.36        49.13   127.142    0.317   -15.36   1.30±1.00    4.09   1.04            1.81      17.80    6.16e+21    4.64e+20          0.363
G120.200+0.658+03.84        49.06   120.200    0.658     3.84   0.69±0.03    0.98   0.36            1.36       1.06    3.50e+21    4.25e+20          0.282
G119.525-0.575-31.56       -45.62   119.525   -0.575   -31.56   2.57±0.92    2.86   1.06            1.03       5.97    1.50e+21    2.99e+20          0.007
G120.758+3.975-37.07       -28.86   120.758    3.975   -37.07   2.65±1.02   15.57   3.39            2.21     576.04    1.04e+22    7.23e+20          0.128
G119.025-4.000-09.19       -35.04   119.025   -4.000    -9.19   0.69±0.03    1.05   0.29            1.17       0.43    1.70e+21    2.06e+20          0.337
G141.042+2.125-09.19        26.81   141.042    2.125    -9.19   0.42±2.24    1.28   0.32            0.90       0.78    2.52e+21    4.08e+20          0.063
G106.775+1.550-23.38       -27.07   106.775    1.550   -23.38   2.67±0.69   12.89   3.10            1.38     283.57    1.05e+22    1.25e+21          1.014
