         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G122.675+2.042-49.60        47.67   122.675    2.042   -49.60   2.51±0.30    4.17   1.38            2.42      19.71    4.07e+21    6.47e+20          0.028
G116.417+2.583-05.68        71.41   116.417    2.583    -5.68   0.73±0.08    1.35   0.34            0.75       1.05    2.05e+21    2.79e+20          0.206
G108.825+4.075-09.69        42.39   108.825    4.075    -9.69   0.81±0.10    1.70   0.42            0.78       1.26    1.63e+21    1.98e+20          0.077
G124.792+2.458-86.17        55.52   124.792    2.458   -86.17   5.53±0.51   12.67   4.00            1.09      97.72    4.31e+21    4.25e+20          0.634
G113.850+3.250-19.37       -14.78   113.850    3.250   -19.37   2.33±0.85    5.21   1.86            2.10      38.85    5.39e+21    5.92e+20          0.417
G106.700+0.083-11.86       -28.21   106.700    0.083   -11.86   0.79±0.10    1.07   0.31            0.74       0.71    1.35e+21    2.12e+20          0.300
G123.933+2.517+00.17        36.85   123.933    2.517     0.17   0.24±0.03    0.28   0.10            1.43       0.10    4.17e+21    4.94e+20          0.327
G121.350-3.383-41.75       -30.90   121.350   -3.383   -41.75   2.27±0.15    7.43   2.65            1.43     249.66    2.03e+22    2.62e+21          0.270
G120.542+2.425-49.60       -54.40   120.542    2.425   -49.60   2.57±0.31    2.12   0.87            1.34       6.42    2.68e+21    3.62e+20          0.118
G114.650+3.467+01.50       -24.14   114.650    3.467     1.50   0.74±0.08    1.12   0.35            1.07       1.78    2.84e+21    2.77e+20          0.395
G107.500+0.075-54.78        61.02   107.500    0.075   -54.78   2.93±0.29    5.13   2.00            1.55      85.39    9.40e+21    1.04e+21          0.366
G146.100-0.033-41.92       -47.94   146.100   -0.033   -41.92   2.03±0.17    5.01   1.14            1.14      16.21    3.96e+21    4.07e+20          0.284
G149.583-0.192-42.25       -30.56   149.583   -0.192   -42.25   4.64±0.49    5.57   2.18            1.60      38.81    3.28e+21    3.83e+20          0.030
G122.717+1.575-71.81        21.56   122.717    1.575   -71.81   6.29±0.90    8.84   2.52            1.51      69.34    2.01e+21    4.08e+20          0.180
G132.525+1.675-64.96        38.64   132.525    1.675   -64.96   5.44±0.63   18.26   5.79            2.60     717.01    7.97e+21    8.58e+20          0.057
G123.417+2.200-52.10        72.83   123.417    2.200   -52.10   2.46±0.31    3.70   1.02            0.92      13.60    3.23e+21    5.57e+20          0.221
G122.192+1.442-53.44        33.23   122.192    1.442   -53.44   2.51±0.29    2.88   1.06            1.72      10.62    3.14e+21    4.65e+20          0.309
G127.900+4.558-12.86       -33.37   127.900    4.558   -12.86   0.84±0.60    1.37   0.33            0.85       0.79    1.85e+21    1.86e+20          0.325
G126.892-4.042-11.52        60.56   126.892   -4.042   -11.52   2.22±0.67    3.31   1.20            1.62      14.49    4.29e+21    4.21e+20          0.173
G109.333-0.575-45.59        49.45   109.333   -0.575   -45.59   2.84±0.30    6.78   2.05            3.84      39.49    4.90e+21    6.07e+20          0.326
G107.650+2.258-72.81        23.49   107.650    2.258   -72.81   6.82±0.81    9.79   3.11            1.33      66.42    2.52e+21    3.37e+20          0.409
G118.508+2.425-70.47       -61.21   118.508    2.425   -70.47   6.25±0.84    6.25   2.51            0.93      34.36    2.19e+21    2.73e+20          0.506
G109.033+2.733+03.01       -27.61   109.033    2.733     3.01   0.76±0.09    1.34   0.38            0.78       1.02    2.42e+21    3.18e+20          0.591
G112.933+0.275+01.17         4.78   112.933    0.275     1.17   2.31±1.02   12.43   2.31            1.31      89.59    4.11e+21    5.07e+20          0.090
G118.483+5.075-21.88       -25.44   118.483    5.075   -21.88   2.04±1.04    4.10   1.02            1.70      51.06    2.18e+22    1.40e+21          0.095
G148.367-1.867-33.40        39.10   148.367   -1.867   -33.40   2.04±0.14    4.12   1.18            1.19      13.53    3.64e+21    5.38e+20          0.359
G114.492+3.758-45.09        72.58   114.492    3.758   -45.09   2.64±0.12    5.36   1.24            1.36      19.77    3.53e+21    4.94e+20          0.242
G121.308+1.875-56.45        37.17   121.308    1.875   -56.45   2.55±0.32    3.21   1.09            1.68       9.67    3.21e+21    5.54e+20          0.096
G139.742+1.542-43.09       -37.42   139.742    1.542   -43.09   2.12±0.24    3.65   1.04            1.84      10.14    3.19e+21    3.44e+20          0.252
G115.592+2.725-65.30        63.44   115.592    2.725   -65.30   5.76±0.78    9.03   2.71            2.29      50.16    2.65e+21    3.57e+20          0.394
G106.117-3.233-35.74        40.34   106.117   -3.233   -35.74   3.27±0.72    6.46   2.03            1.60     101.01    8.33e+21    8.22e+20          0.320
G143.408-2.825-22.38       -33.33   143.408   -2.825   -22.38   2.05±0.50    4.01   1.28            0.96      11.84    2.22e+21    3.29e+20          0.248
